2026-01-06 12:15:29 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-07 09:04:13 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:06:15 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:09:00 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:11:17 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:15:25 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:19:26 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 09:23:36 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-07 10:24:28 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-07 11:17:41 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-07 11:19:44 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Compliance Review and Governance Meeting
2026-01-07 11:33:54 | SESSION=0b631b2a... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-07 11:35:13 | SESSION=0b631b2a... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-07 11:40:24 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 10:07:56 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=What is ESM?
2026-01-08 10:09:08 | SESSION=anonymou... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 10:22:07 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-08 10:25:12 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 11:02:08 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 11:02:55 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Implementation and Planning Strategy
2026-01-08 11:13:11 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 11:43:55 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 Strategy and Q1 Review Meeting Details
2026-01-08 11:54:10 | SESSION=f03058e2... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-08 13:08:19 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Automation for Candidate Onboarding
2026-01-08 13:14:39 | SESSION=a4257975... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Compliance Review and Governance Meeting
2026-01-08 14:51:45 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 14:53:11 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 14:54:31 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 14:59:26 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy 
2026-01-08 15:01:07 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 15:06:12 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-08 15:18:02 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange 
2026-01-08 15:23:33 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-08 15:24:38 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-08 15:25:04 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-08 15:26:17 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-08 15:26:23 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-08 15:30:17 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-08 15:30:43 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 15:39:51 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-08 16:16:07 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange  
2026-01-08 16:17:34 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 16:38:44 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 17:12:56 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 17:15:26 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 17:16:57 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange 
2026-01-08 17:19:20 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=08 17:15:26,540 - INFO - 2026-01-08 17:15:26 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:15:29,240 - INFO - 2026-01-08 17:15:26 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:15:29,240 - INFO -  Hybrid search (global search) 2026-01-08 17:15:29,241 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) 2026-01-08 17:15:29,241 - INFO - Loading embedding model: /mnt/dev/backend/HF_bge_large 2026-01-08 17:15:29,412 - INFO - Load pretrained SentenceTransformer: /mnt/dev/backend/HF_bge_large 2026-01-08 17:15:29,556 - INFO - Embedding model loaded. Memory usage: 613.91 MB Batches: 100%|█████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00, 30.14it/s] 2026-01-08 17:15:29,593 - INFO - generate_query_embedding executed in 0.35 seconds 2026-01-08 17:15:29,593 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:15:29,595 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:15:29,597 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:15:29,597 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:15:29,597 - INFO - Final hits: 7 2026-01-08 17:15:29,597 - INFO -  Hybrid search (global search) 2026-01-08 17:15:29,597 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) Batches: 100%|█████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00, 27.99it/s] 2026-01-08 17:15:29,637 - INFO - generate_query_embedding executed in 0.04 seconds 2026-01-08 17:15:29,637 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:15:29,639 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:15:29,640 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:15:29,641 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:15:29,641 - INFO - Final hits: 10 2026-01-08 17:15:29,641 - INFO -  Hybrid search (global search) 2026-01-08 17:15:29,641 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) Batches: 100%|█████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00, 24.91it/s] 2026-01-08 17:15:29,685 - INFO - generate_query_embedding executed in 0.04 seconds 2026-01-08 17:15:29,685 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:15:29,687 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:15:29,689 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:15:29,689 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:15:29,689 - INFO - Final hits: 7 2026-01-08 17:15:29,689 - INFO -  Hybrid search (global search) 2026-01-08 17:15:29,690 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) Batches: 100%|█████████████████████████████████████████████████████████████████████████| 1/1 [00:00<00:00, 27.51it/s] 2026-01-08 17:15:29,730 - INFO - generate_query_embedding executed in 0.04 seconds 2026-01-08 17:15:29,730 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:15:29,732 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:15:29,733 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:15:29,733 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:15:29,733 - INFO - Final hits: 11 2026-01-08 17:15:29,768 - INFO - Use pytorch device: cpu 2026-01-08 17:15:29,769 - INFO - [OK] CrossEncoder initialized successfully. 2026-01-08 17:15:29,878 - INFO - [STREAM] Retrieved 12 chunks grouped into 4 groups for streaming 2026-01-08 17:15:29,878 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=RETRIEVAL_COMPLETE | chunks=4 | ms=3338 | status=OK 2026-01-08 17:15:29,878 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=STREAM_START | total_chunks=4 | mode=sequential | status=OK 2026-01-08 17:15:29,879 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=REQUEST_END | status_code=200 | status=OK INFO:     172.21.152.38:0 - "POST /query HTTP/1.1" 200 OK 2026-01-08 17:15:29,879 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=SEQUENTIAL_START | total_chunks=4 | mode=one_at_a_time | status=OK 2026-01-08 17:15:29,879 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=CHUNK_QUEUED | chunk=0 | position=1 | total=4 | remaining=3 | status=OK 2026-01-08 17:15:29,879 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=EXECUTOR_CREATED | workers=4 | status=OK 2026-01-08 17:15:29,880 - INFO - 2026-01-08 17:15:29 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:15:53,568 - INFO - 2026-01-08 17:15:29 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:15:53,568 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=0 | ms=23689 | status=OK 2026-01-08 17:15:53,569 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=CHUNK_QUEUED | chunk=1 | position=2 | total=4 | remaining=2 | status=OK 2026-01-08 17:15:53,569 - INFO - 2026-01-08 17:15:53 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:03,270 - INFO - 2026-01-08 17:15:53 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:03,270 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=1 | ms=9701 | status=OK 2026-01-08 17:16:03,270 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=CHUNK_QUEUED | chunk=2 | position=3 | total=4 | remaining=1 | status=OK 2026-01-08 17:16:03,270 - INFO - 2026-01-08 17:16:03 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:08,914 - INFO - 2026-01-08 17:16:03 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:08,914 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=2 | ms=5644 | status=OK 2026-01-08 17:16:08,914 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=CHUNK_QUEUED | chunk=3 | position=4 | total=4 | remaining=0 | status=OK 2026-01-08 17:16:08,914 - INFO - 2026-01-08 17:16:08 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:14,593 - INFO - 2026-01-08 17:16:08 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:16:14,593 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=3 | ms=5679 | status=OK 2026-01-08 17:16:14,593 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=SEQUENTIAL_COMPLETE | total_chunks=4 | avg_per_chunk_ms=11178.484678268433 | ms=44714 | status=OK 2026-01-08 17:16:14,594 - INFO - server=llm-0 | req=fdfc729b766c | session=7125a3ae | stage=STREAM_COMPLETE | successful=4 | failed=0 | status=OK 2026-01-08 17:16:57,571 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=REQUEST_START | method=POST | path=/query | status=OK 2026-01-08 17:16:57,572 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=QUERY_START | query=what is the simulate the behavior between member a | filters=none | status=OK 2026-01-08 17:16:57,572 - INFO - ? Cache HIT for LLM (age: 88.3s): Rephrase the following query into up to 3 diverse ... 2026-01-08 17:16:57,572 - INFO -  Hybrid search (global search) 2026-01-08 17:16:57,572 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) 2026-01-08 17:16:57,573 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:16:57,575 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:16:57,575 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:16:57,575 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:16:57,576 - INFO - Final hits: 7 2026-01-08 17:16:57,576 - INFO -  Hybrid search (global search) 2026-01-08 17:16:57,576 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) 2026-01-08 17:16:57,576 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:16:57,578 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:16:57,578 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:16:57,578 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:16:57,578 - INFO - Final hits: 10 2026-01-08 17:16:57,578 - INFO -  Hybrid search (global search) 2026-01-08 17:16:57,578 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) 2026-01-08 17:16:57,579 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:16:57,580 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:16:57,582 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:16:57,582 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:16:57,582 - INFO - Final hits: 7 2026-01-08 17:16:57,582 - INFO -  Hybrid search (global search) 2026-01-08 17:16:57,582 - INFO - ?? BM25 search: No filters applied (searching 111 total documents) 2026-01-08 17:16:57,582 - INFO - 🔍 Qdrant search: No filters applied (searching all documents) 2026-01-08 17:16:57,583 - INFO - HTTP Request: POST http://localhost:6333/collections/knowledge_base/points/search "HTTP/1.1 200 OK" 2026-01-08 17:16:57,584 - INFO - 🔍 Retrieved 7 similar chunks (no filters) 2026-01-08 17:16:57,584 - INFO - 📊 BM25=7 | Vector=7 2026-01-08 17:16:57,584 - INFO - Final hits: 11 2026-01-08 17:16:57,683 - INFO - [STREAM] Retrieved 12 chunks grouped into 4 groups for streaming 2026-01-08 17:16:57,683 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=RETRIEVAL_COMPLETE | chunks=4 | ms=111 | status=OK 2026-01-08 17:16:57,683 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=STREAM_START | total_chunks=4 | mode=sequential | status=OK 2026-01-08 17:16:57,683 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=REQUEST_END | status_code=200 | status=OK INFO:     172.21.152.38:0 - "POST /query HTTP/1.1" 200 OK 2026-01-08 17:16:57,684 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=SEQUENTIAL_START | total_chunks=4 | mode=one_at_a_time | status=OK 2026-01-08 17:16:57,684 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=CHUNK_QUEUED | chunk=0 | position=1 | total=4 | remaining=3 | status=OK 2026-01-08 17:16:57,684 - INFO - 2026-01-08 17:16:57 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:21,945 - INFO - 2026-01-08 17:16:57 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:21,945 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=0 | ms=24261 | status=OK 2026-01-08 17:17:21,946 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=CHUNK_QUEUED | chunk=1 | position=2 | total=4 | remaining=2 | status=OK 2026-01-08 17:17:21,946 - INFO - 2026-01-08 17:17:21 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:35,522 - INFO - 2026-01-08 17:17:21 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:35,522 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=1 | ms=13576 | status=OK 2026-01-08 17:17:35,523 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=CHUNK_QUEUED | chunk=2 | position=3 | total=4 | remaining=1 | status=OK 2026-01-08 17:17:35,523 - INFO - 2026-01-08 17:17:35 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:41,210 - INFO - 2026-01-08 17:17:35 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:41,210 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=2 | ms=5687 | status=OK 2026-01-08 17:17:41,210 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=CHUNK_QUEUED | chunk=3 | position=4 | total=4 | remaining=0 | status=OK 2026-01-08 17:17:41,211 - INFO - 2026-01-08 17:17:41 | Generating response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:46,131 - INFO - 2026-01-08 17:17:41 | Generated response using local Ollama (mistral:7b-instruct) 2026-01-08 17:17:46,132 - INFO - server=llm-0 | req=- | stage=CHUNK_PROCESSED | chunk=3 | ms=4921 | status=OK 2026-01-08 17:17:46,132 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=SEQUENTIAL_COMPLETE | total_chunks=4 | avg_per_chunk_ms=12111.948728561401 | ms=48448 | status=OK 2026-01-08 17:17:46,132 - INFO - server=llm-0 | req=a78d1942f153 | session=7125a3ae | stage=STREAM_COMPLETE | successful=4 | failed=0 | status=OK
2026-01-08 17:22:48 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange 
2026-01-08 18:02:57 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=SOX compliance percentage achieved in Q4?
2026-01-08 18:04:18 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 18:21:33 | SESSION=e409ca9f... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-08 18:37:12 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 18:37:31 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 18:40:48 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Implementation and Planning Strategy
2026-01-08 18:46:08 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Please give MFA implementation status 
2026-01-08 18:53:45 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=2025 STRATEGY and Q1 REVIEW MEETING
2026-01-08 19:09:36 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
2026-01-08 19:10:24 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 19:13:05 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-08 19:17:06 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 19:25:24 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 19:26:39 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=ESG disclosure circular and proposed amendments?
2026-01-08 19:28:11 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy
2026-01-08 19:33:50 | SESSION=7125a3ae... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 19:35:26 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Give agenda for the meeting Implementation and Planning Strategy  
2026-01-08 19:40:24 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=what is the simulate the behavior between member applications and exchange
2026-01-08 19:41:16 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Please give MFA implementation status 
2026-01-08 19:42:39 | SESSION=0b97e1dd... | MEETING=N/A | DOC_TYPE=ALL | QUERY=Automation for Candidate Onboarding
2026-01-08 19:43:10 | SESSION=7266aafe... | MEETING=N/A | DOC_TYPE=ALL | QUERY=controls failed during the Q4 SOX testing?
